file	line	indicator	note
clerk-private-profile.html	1332	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1334	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1336	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1339	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1361	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1463	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1500	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1543	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1545	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1550	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1555	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1562	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1563	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1565	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1569	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1574	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1586	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1608	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1616	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1620	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1621	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1622	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1628	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1629	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1630	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1631	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1633	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1652	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1663	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1670	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1671	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1676	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1684	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1685	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1699	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1973	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
clerk-private-profile.html	1981	REVIEW_REQUIRED	Manual inspect only; source line content intentionally not copied
